Array Design Name	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Comment[AdditionalFile:CDF]	YG_S98.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-27
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome S98 [YG_S98]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	glass
Term Source Name	The MGED Ontology	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	interpro	locus	mgd	pfam	pkr_hanks	refseq	scop	sgd	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.ebi.ac.uk/interpro	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www.informatics.jax.org/	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version																	
Comment[AdditionalFile:txt]	A-AFFY-27_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[swall]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[mgd]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[blocks]	Composite Element Database Entry[ec]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[unigene]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
10040_at		Q05863			RF-1	10040_at			IPR000352	IPB000352					YLR281C		
10041_at		O13542				10041_at									YLR282C		
10042_at		Q05867				10042_at									S0004273		
10043_at		Q05871	d1ey3a_		ECH	10043_at			IPR001753	IPB001753					YLR284C		
10044_at		Q05874				10044_at									YLR285W		
10045_at		P29029	d2hvm__		CBM_19	10045_at			IPR001223	IPB002889	3.2.1.96				YLR286C		
10046_at		Q05881				10046_at									YLR287C		
10047_f_at		Q12087				10047_f_at									S0004278		
10048_at		Q02574				10048_at									S0004279		
10049_at		P46943	d1eft_3		GTP_EFTU_D2	10049_at			IPR005225	IPB000178					YLR289W		
10050_at		Q05892				10050_at				IPB002225					S0004281		
10051_at		P32502			IF-2B	10051_at			IPR000649	IPB000649					YLR291C		
10052_at		P39742			TPR	10052_at			IPR001440						YLR292C		
10053_at		P32835	d1i2ma_		ras	10053_at			IPR005225	IPB000251					YLR293C		
10054_at		O13543				10054_at									YLR294C		
10010_at		Q12349				10010_at									YLR295C		
10011_at		Q05898				10011_at									YLR296W		
10012_at		Q05899				10012_at									S0004288		
10013_at		Q05900				10013_at			IPR000690						S0004289		
10014_at		Q05902			G_glu_transpept	10014_at			IPR000101	IPB000101					YLR299W		
10015_at		P23776	d1eqca_		cellulase	10015_at			IPR001547		3.2.1.58				YLR300W		
10016_at		Q05905				10016_at									YLR301W		
10017_at		O13544				10017_at									YLR302C		
10018_at		P06106	d1e5ea_		Cys_Met_Meta_PP	10018_at			IPR000277	IPB000277	1.4.4.2				S0004294		
10019_at		P19414	d7acn_2		aconitase	10019_at			IPR001030	IPB000573	4.2.1.3				YLR304C		
10020_at		P37297	d1e8xa4		PI3_PI4_kinase	10020_at			IPR001263	IPB003113	2.7.1.67				YLR305C		
10021_at		P52491	d2aak__		UQ_con	10021_at			IPR000608	IPB000608	6.3.2.19				YLR306W		
10022_at		Q06703			Polysacc_deacet	10022_at			IPR002509	IPB002509	3.5.1.41				YLR307W		
10023_at		Q06702			Polysacc_deacet	10023_at			IPR002509	IPB002509	3.5.1.41				YLR308W		
10024_at		Q06704			GRIP	10024_at			IPR000237	IPB001664					YLR309C		Q27480
10025_at		P04821			SH3	10025_at			IPR001895	IPB002889					YLR310C		
10026_at		Q06158				10026_at									S0004302		
10027_at		Q06159				10027_at									S0004303		
10028_at		Q06160				10028_at									S0004305		
10029_at		P32457			GTP_CDC	10029_at			IPR000038	IPB000038					YLR314C		
10030_at		Q06162				10030_at									S0004307		
10031_at		Q9URQ3				10031_at			IPR002125						YLR316C		
9986_at		O13553				9986_at									YLR317W		
9987_at		Q06163				9987_at			IPR003545	PR01365					YLR318W		
9988_at		P41697			AIP3	9988_at			IPR005613						YLR319C		
9989_at		Q06164				9989_at									YLR320W		
9990_at		Q06168				9990_at									YLR321C		
9991_at		O13554				9991_at			IPR001230	IPB002900					YLR322W		
9992_at		P53769	d1fbva4		zf-CCCH	9992_at			IPR001841	IPB001841					YLR323C		
9993_at		Q06169				9993_at									YLR324W		
9994_at		P49167			Ribosomal_L38e	9994_at			IPR002675	IPB002675					YLR325C		
9995_at		Q06170				9995_at									YLR326W		
9996_at		Q06177				9996_at									YLR327C		
9997_at		Q06178				9997_at			IPR005248						YLR328W		
9998_at		Q02721				9998_at									YLR329W		
9999_at		Q12114			BRCT	9999_at			IPR001357						S0004322		
10000_at		O13555				10000_at									YLR331C		
10001_at		P36027				10001_at				IPB000684					S0004324		
10002_i_at		P07282			Ribosomal_S25	10002_i_at			IPR004977						YLR333C		
10003_f_at		P07282			Ribosomal_S25	10003_f_at			IPR004977						YLR333C		
10004_at		Q06127				10004_at				IPB000484					S0004326		
10005_at		P32499	d1rrpb_		Ran_BP1	10005_at			IPR000156						YLR335W		
10006_at		Q06132			MIF4G	10006_at			IPR003891						YLR336C		
10007_at		P37370			WH2	10007_at			IPR003124	IPB002999					YLR337C		
10008_at		O94084				10008_at				IPB000634					YLR338W		
10009_at		O94085				10009_at			IPR000875						S0004331		
9964_at		P05317			Ribosomal_L10	9964_at			IPR001813	PR00456					YLR340W		
9965_at		Q06134				9965_at									YLR341W		
9966_at		P38631			Glucan_synthase	9966_at			IPR003440	IPB003440					YLR342W		
9967_at		Q06135			GAS1	9967_at			IPR004886						YLR343W		
9968_s_at		P05743	d1jj2s_		KOW	9968_s_at			IPR005756	IPB000302					YLR344W		
9969_at		Q06137	d1bif_2		PGAM	9969_at			IPR003094	PR00991	3.1.3.13				YLR345W		
9970_at		Q06139				9970_at									YLR346C		
9971_at		Q06142	d1gcja_		IBN_NT	9971_at			IPR001494						S0004339		
9972_at		Q06143			mito_carr	9972_at			IPR001993	IPB001993					YLR348C		
9973_at		O94086				9973_at			IPR000719						S0004341		
9974_at		Q06144			ORMDL	9974_at									S0004342		
9975_at		P49954	d1f89a_		CN_hydrolase	9975_at			IPR001110	IPB000132	3.5.5.7				YLR351C		
9976_at		Q06479			LRR	9976_at									YLR352W		
9977_at		P41698				9977_at			IPR000504						S0004345		
9978_at		P15019	d1f05a_		Transaldolase	9978_at			IPR001585	IPB001585	2.2.1.2				YLR354C		
9979_at		P06168	d1qmga2		IlvC	9979_at			IPR000506	IPB000506	1.1.1.86				YLR355C		
9980_at		Q06485				9980_at									YLR356W		
9981_at		O13565				9981_at									S0004350		
9982_at		Q06488	d1eqfa1		BAH	9982_at			IPR001025	IPB001487					YLR357W		
9983_at		Q05911	d1dofa_		lyase_1	9983_at			IPR004769	IPB000362	4.2.1.2				YLR359W		
9984_at		Q05919				9984_at									S0004352		
9985_at		Q05924	d1utea_		Metallophos	9985_at			IPR004843	IPB003266					YLR361C		
9941_at		P23561	d1f3mc_		pkinase	9941_at			IPR002290	IPB003605	2.7.1.38				S0004354	STE11	
9942_at		Q12129				9942_at									YLR363C		
9943_at		Q05926	d1jhb__			9943_at				IPB002109					YLR364W		
9944_at						9944_at									YLR365W		
9945_at						9945_at									YLR366W		
9946_at		P04648	d1i6ua_		Ribosomal_S8	9946_at			IPR000630	IPB000630					YLR367W		
9947_i_at		P04648	d1i6ua_		Ribosomal_S8	9947_i_at			IPR000630	IPB000630					YLR367W		
9948_f_at		P04648	d1i6ua_		Ribosomal_S8	9948_f_at			IPR000630	IPB000630					YLR367W		
9949_at		Q05930			F-box	9949_at			IPR001810						YLR368W		
9950_at		Q05931	d1dkgd1		HSP70	9950_at			IPR001023	IPB002731					YLR369W		
9951_at		Q05933			P21-Arc	9951_at									YLR370C		
9952_at		P51862	d1by1a_		RhoGEF	9952_at			IPR001331	IPB001180					S0004363		
9953_at		P40319				9953_at			IPR002076						YLR372W		
9954_at		Q05934				9954_at			IPR003656						YLR373C		
9955_at		O13545				9955_at									S0004366		
9956_at		Q05937			zf-C2H2	9956_at			IPR000822	IPB000822					YLR375W		
9957_at		Q12318				9957_at									S0004368		
9958_at		P09201	d1bk4a_		FBPase	9958_at			IPR000146	IPB000760	3.1.3.11				YLR377C		
9959_at		P32915			secY	9959_at			IPR002208	IPB002208					YLR378C		
9960_at		O13579				9960_at									YLR379W		
9961_at		Q06705	d1aua_1		CRAL_TRIO_N	9961_at			IPR001251	IPB001251					YLR380W		
9962_at		Q12748				9962_at									S0004373		
9963_at		P11325	d1gaxa3		tRNA-synt_1	9963_at			IPR002302	IPB001412	6.1.1.4				YLR382C		
9918_at		Q12749	d1e69a_		SMC_N	9918_at			IPR003439	IPB000237					YLR383W		
9919_at		Q06706				9919_at									S0004376		
9920_at		Q06707				9920_at									YLR385C		
9921_at		Q06708				9921_at			IPR000357						YLR386W		
9922_at		Q06709				9922_at			IPR000822						YLR387C		
9923_f_at		P41057			Ribosomal_S14	9923_f_at			IPR001209	IPB001209					YLR388W		
9924_at		Q06010	d1bcca1		Peptidase_M16	9924_at			IPR001431	IPB001431	3.4.24.56				S0004381		
9925_at		Q06011				9925_at				IPB002000					YLR390W		
9926_at						9926_at									YLR391W-A		
9927_at		P18634				9927_at									YLR392C		
9928_at		P18496				9928_at									YLR393W		
9929_at		Q06032				9929_at			IPR000345						S0004386		
9930_at		P04039				9930_at									YLR395C		
9931_at		P20795				9931_at			IPR001619						YLR396C		
9932_at		P32794	d1e32a2		AAA	9932_at			IPR003960	IPB003960					YLR397C		
9933_at		P35207	d1hv8a1		helicase_C	9933_at			IPR001650						YLR398C		
9934_at		P35817	d1b91a_		bromodomain	9934_at			IPR001487	PR00995					YLR399C		
9935_at		Q06051				9935_at									YLR400W		
9936_at		Q06053			zf-CCCH	9936_at			IPR001269	IPB000571					YLR401C		
9937_at		Q06057				9937_at									YLR402W		
9938_at		P32432			zf-C2H2	9938_at			IPR000822	IPB000547					YLR403W		
9939_at		Q06058				9939_at									YLR404W		
9940_at		Q06063	d1ep3a_		Dus	9940_at			IPR001269	IPB001269					YLR405W		
9895_i_at		P04649			Ribosomal_L31e	9895_i_at			IPR000054	IPB000054					YLR406C		
9896_f_at		P04649			Ribosomal_L31e	9896_f_at			IPR000054	IPB000054					S0004398		
9897_f_at		P04649			Ribosomal_L31e	9897_f_at			IPR000054	IPB000054					YLR406C		
9898_at		Q06070				9898_at									YLR407W		
9899_at		Q06071				9899_at									S0004400		
9900_at		Q06078	d1k8kc_		Utp21	9900_at			IPR001680	PR00319					YLR409C		
9901_at		Q06685				9901_at									YLR410W		
9902_at		Q06686			Ctr	9902_at			IPR000215						YLR411W		
9903_at		Q06688				9903_at									S0004404		
9904_at		Q06689				9904_at									S0004405		
9905_at		Q06991				9905_at			IPR001832	IPB000729					YLR414C		
9906_at		O13578				9906_at									S0004407		
9907_at		Q06695				9907_at									YLR416C		
9908_at		Q06696			Vps36	9908_at			IPR001876						YLR417W		
9909_at		Q06697				9909_at									YLR418C		
9910_at		Q06698			helicase_C	9910_at			IPR001920	IPB001482					YLR419W		
9911_at		P20051	d1j79a_			9911_at			IPR002195	IPB002195					YLR420W		
9912_at		O13563				9912_at									S0004413		
9913_at		Q06409				9913_at									S0004414		
9914_at		Q06410			APG17	9914_at				IPB000237					YLR423C		
9915_at		Q06411			G-patch	9915_at			IPR000467						YLR424W		
9916_at		Q06412			PH	9916_at			IPR001180						S0004417		
9917_at		Q06417	d1i01a_		adh_short	9917_at			IPR002347	IPB002225	1.3.1.34				YLR426W		
9873_at		Q06417	d1i01a_		adh_short	9873_at			IPR002347	IPB002225	1.3.1.28				YLR426W		
9874_at		Q06436			zf-C3HC4	9874_at			IPR001841	IPB000315					YLR427W		
9875_at		O13564				9875_at									YLR428C		
9876_at		Q06440	d1k8kc_		WD40	9876_at			IPR001680						YLR429W		
9877_at		Q00416				9877_at				IPB000212					YLR430W		
9878_at		Q06671				9878_at									YLR431C		
9879_f_at		P50095				9879_f_at			IPR003009						S0004424		
9880_at		P23287	d1tcoa_		Metallophos	9880_at			IPR006186	IPB000934	3.6.1.41				YLR433C		
9881_at		O13576				9881_at									YLR434C		
9882_at		Q06672				9882_at				IPB000135					YLR435W		
9883_at		Q06673				9883_at			IPR006162						YLR436C		
9884_at		O13577				9884_at									S0004429		
9885_at		P07991	d2oata_		aminotran_3	9885_at			IPR005814	IPB000954	4.1.1.64				YLR438W		
9886_at		P57743	d1i81a_		Sm	9886_at			IPR001163	IPB001163					YLR438C-A		
9887_at		P36517				9887_at									S0004431		
9888_at		Q12745				9888_at			IPR005479						YLR440C		
9889_i_at		P33442			Ribosomal_S3Ae	9889_i_at			IPR001593	IPB001593					YLR441C		
9890_s_at		P33442			Ribosomal_S3Ae	9890_s_at			IPR001593	IPB001593					S0004433		
9891_at		P06701			BAH	9891_at			IPR001025						YLR442C		
9892_at		Q06200				9892_at									YLR443W		
9893_at		O13560				9893_at									S0004436		
9894_at		Q06201				9894_at									YLR445W		
9850_at		Q06204				9850_at			IPR001312	IPB001312					YLR446W		
9851_at		P32366			vATP-synt_AC39	9851_at			IPR002843	IPB002843					YLR447C		
9852_at		P05739			Ribosomal_L6e	9852_at			IPR000915	IPB000915					YLR448W		
9853_at		Q06205	d1yat__		FKBP	9853_at			IPR001179	IPB001580					YLR449W		
9854_at		P12684	d1dqaa4		HMG-CoA_red	9854_at			IPR004554	IPB002202	1.1.1.34				YLR450W		
9855_at		P08638			Zn_clus	9855_at			IPR001138	IPB001138					YLR451W		
9856_at		P11972				9856_at			IPR000591						YLR452C		
9857_at		Q06208				9857_at									YLR453C		
9858_at		Q06179				9858_at									S0004446		
9859_at		Q06188			PWWP	9859_at			IPR000313	IPB000313					S0004447		
9860_at		Q06199				9860_at									S0004448		
9861_at		P52919				9861_at									YLR457C		
9862_at						9862_at									S0004450		
9863_at		P41733				9863_at									YLR459W		
9864_at		P54007	d1qora2		adh_zinc	9864_at			IPR002085		1.2.1.46				YLR460C		
9865_f_at		P53427			SRP1_TIP1	9865_f_at			IPR000992	IPB000992					YLR461W		
9866_i_at		O13558				9866_i_at									YLR465C		
9867_s_at		O13558				9867_s_at									S0004457		
9868_at						9868_at									S0007245		
9869_at						9869_at									YLR264c-a		
9870_s_at		P36523				9870_s_at			IPR000999	IPB000999					YLR312W-A		
9871_at	NC_001144					9871_at											
9872_at	NC_001144					9872_at											
9826_at	NC_001144					9826_at											
9827_at	NC_001144					9827_at											
9828_at	NC_001144					9828_at											
9829_at	NC_001144					9829_at											
9830_at	NC_001144					9830_at											
9831_at	NC_001144					9831_at											
9832_at	NC_001144					9832_at											
9833_at	NC_001144					9833_at											
9834_at	NC_001144					9834_at											
9835_at	NC_001144					9835_at											
9836_at	NC_001144					9836_at											
9837_s_at	NC_001144					9837_s_at											
9838_s_at	NC_001144					9838_s_at											
9839_s_at	NC_001144					9839_s_at											
9840_f_at	NC_001144					9840_f_at											
9841_at	NC_001144					9841_at											
9842_at	NC_001144					9842_at											
9843_at	NC_001144					9843_at											
9844_at	NC_001144					9844_at											
9845_at	NC_001144					9845_at											
9846_at	NC_001144					9846_at											
9847_at	NC_001144					9847_at											
9848_at	NC_001144					9848_at											
9849_at	NC_001144					9849_at											
9804_at	NC_001144					9804_at											
9805_at	NC_001144					9805_at											
9806_at	NC_001144					9806_at											
9807_at	NC_001144					9807_at											
9808_at	NC_001144					9808_at											
9809_at	NC_001144					9809_at											
9810_at	NC_001144					9810_at											
9811_at	NC_001144					9811_at											
9812_at	NC_001144					9812_at											
9813_at	NC_001144					9813_at											
9814_at	NC_001144					9814_at											
9815_at	NC_001144					9815_at											
9816_s_at	NC_001144					9816_s_at											
9817_at	NC_001144					9817_at											
9818_at	NC_001144					9818_at											
9819_at	NC_001144					9819_at											
9820_s_at	NC_001144					9820_s_at											
9821_at	NC_001144					9821_at											
9822_at	NC_001144					9822_at											
9823_at	NC_001144					9823_at											
9824_at	NC_001144					9824_at											
9825_s_at	NC_001144					9825_s_at											
9779_at	NC_001144					9779_at											
9780_at	NC_001144					9780_at											
9781_at	NC_001144					9781_at											
9782_at	NC_001144					9782_at											
9783_at	NC_001144					9783_at											
9784_at	NC_001144					9784_at											
9785_at	NC_001144					9785_at											
9786_at	NC_001144					9786_at											
9787_at	NC_001144					9787_at											
9788_at	NC_001144					9788_at											
9789_at	NC_001144					9789_at											
9790_i_at						9790_i_at									S0006473		
9791_f_at						9791_f_at									S0006473		
9792_s_at						9792_s_at									S0006473		
9793_at						9793_at									SNR79		
9794_at						9794_at									SNR6		
9795_at						9795_at									SNR61		
9796_at						9796_at									SNR55		
9797_i_at						9797_i_at									SNR57		
9798_at						9798_at									SNR44		
9799_at						9799_at									SNR34		
9800_s_at		Q03099	d1fuka_		helicase_C	9800_s_at			IPR001993	IPB000629					YML133C		
9801_at		Q03102	d1qora2		adh_zinc	9801_at			IPR002085						YML131W		
9802_at		Q03103			ERO1	9802_at									S0004599		
9803_at		P39103				9803_at									S0004598		
9757_at		Q03104				9757_at									YML128C		
9758_at		Q03124				9758_at									S0004596		
9759_at		P54839	d1hnja1		HMG_CoA_synt	9759_at			IPR000590	IPB000590	4.1.3.5				S0004595		
9760_at		Q12746	d2cnd_2		NAD_binding_1	9760_at			IPR001834	PR00409	1.18.1.3				YML125C		
9761_at		P09734	d1jffa1		tubulin	9761_at			IPR002452	IPB000217					YML124C		
9762_at		P25297			sugar_tr	9762_at			IPR005829	IPB003662					YML123C		
9763_at		Q03207				9763_at									S0004591		
9764_at		Q00582	d1i2ma_			9764_at				PR00449					S0004590		
9765_at		P32340	d1fcda1		pyr_redox	9765_at			IPR001327	PR00420					YML120C		
9766_at		Q03208				9766_at									S0004588		
9767_at		Q03210			Exo_endo_phos	9767_at			IPR005135						YML118W		
9768_at		Q03735				9768_at			IPR000504						YML117W		
9769_g_at		Q03735				9769_g_at			IPR000504						YML117W		
9770_at						9770_at									YML117W-A		
9771_at		P13090				9771_at			IPR001230						S0004584		
9772_at		P23642			Anp1	9772_at			IPR005109						YML115C		
9773_at		Q03750				9773_at									YML114C		
9774_at		P13483				9774_at									YML113W		
9775_at		P46963				9775_at									YML112W		
9776_at		Q03758				9776_at									YML111W		
9777_at		P49017	d1kr5a_		Ubie_methyltran	9777_at			IPR004034	IPB000339	2.1.1.64				S0004578		
9778_at		P54786				9778_at									YML109W		
9734_at		Q03759				9734_at									YML108W		
9735_at		Q03760				9735_at									YML107C		
9736_at		P13298	d1opr__		Pribosyltran	9736_at			IPR004467	IPB002375					YML106W		
9737_at		P29478			SRP19	9737_at			IPR002778	IPB002778					YML105C		
9738_at		Q01846			PX	9738_at			IPR003114	IPB001683					S0004572		
9739_at		P52593				9739_at									YML103C		
9740_at		Q04199	d1k8kc_		WD40	9740_at			IPR001680						YML102W		
9741_at						9741_at									YML102C-A		
9742_at		Q04201			CUE	9742_at			IPR003892	IPB003892					YML101C		
9743_at		P38427			Trehalose_PPase	9743_at			IPR003337	IPB001830	2.4.1.15				YML100W		
9744_at						9744_at									YML100W-A		
9745_at		P05085			Zn_clus	9745_at			IPR001138	IPB001138					YML099C		
9746_at		P11747			TFIID-18	9746_at			IPR003195	IPB000637					YML098W		
9747_at		P54787			VPS9	9747_at			IPR003892	IPB003123					YML097C		
9748_at		Q04489	d1ct9a2		Asn_synthase	9748_at				IPB001962	6.3.5.4				YML096W		
9749_at		P06838			Rad10	9749_at			IPR004579						YML095C		
9750_at						9750_at									YML095C-A		
9751_at		Q04493			DUF232	9751_at			IPR004127						S0004559		
9752_at		Q04500				9752_at				IPB000135					YML093W		
9753_at		P23639	d1pmaa_		proteasome	9753_at			IPR000426	IPB000243					YML092C		
9754_at		Q02773				9754_at									S0004556		
9755_at		Q04501				9755_at									YML090W		
9756_at		Q04502				9756_at									YML089C		
9711_at		Q04511			F-box	9711_at			IPR003903	IPB001810					S0004553		
9712_at		Q04516	d2cnd_2		NAD_binding_1	9712_at			IPR001433	PR00410	1.18.1.3				YML087C		
9713_at		P54783	d1i19a2		FAD_binding_4	9713_at			IPR001064	IPB001575	1.1.3.37				YML086C		
9714_at		P09733	d1jffa2		tubulin_C	9714_at			IPR003008	IPB000217					YML085C		
9715_at		Q04521				9715_at									YML084W		
9716_at		Q04526				9716_at									YML083C		
9717_at		Q04533	d1cs1a_		Cys_Met_Meta_PP	9717_at			IPR000277	IPB000277	4.4.1.11				YML082W		
9718_at		Q04545			zf-C2H2	9718_at			IPR006162	IPB000822					YML081W		
9719_at		P53759	d1ep3a_		Dus	9719_at			IPR001269	IPB001269					YML080W		
9720_at		Q03629				9720_at									YML079W		
9721_at		P25719	d1lac__		pro_isomerase	9721_at			IPR002130	IPB002130					S0004543		
9722_at		Q03630				9722_at									YML077W		
9723_at		Q03631				9723_at			IPR001138						YML076C		
9724_at		P12683	d1dqaa4		HMG-CoA_red	9724_at			IPR002202	IPB002202	1.1.1.34				YML075C		
9725_at		P38911	d1yat__		FKBP	9725_at			IPR001179	IPB001422					YML074C		
9726_at		Q02326			Ribosomal_L6e	9726_at			IPR000915	IPB000915					YML073C		
9727_at		Q03640	d3rpba_		C2	9727_at			IPR000008	IPB000008					YML072C		
9728_at		Q04632				9728_at									YML071C		
9729_at		P54838			Dak2	9729_at			IPR004006		2.7.1.29				YML070W		
9730_at		Q04636			SSrecog	9730_at			IPR000969	PR00887					YML069W		
9731_at		Q04638			IBR	9731_at			IPR001841	IPB001293					YML068W		
9732_at		Q04651				9732_at									S0004532		
9733_at		Q04658				9733_at									YML066C		
9689_at		P54784	d1fnna2		BAH	9689_at			IPR003959	IPB000135					YML065W		
9690_at		P38987	d1g16a_		ras	9690_at			IPR005225	IPB002041					YML064C		
9691_i_at		P23248			Ribosomal_S3Ae	9691_i_at			IPR001593	IPB001593					S0004528		
9692_at		P33441				9692_at			IPR002114	IPB000237					YML062C		
9693_at		P07271				9693_at			IPR000504						YML061C		
9694_at		P53397	d1ko9a2		HhH-GPD	9694_at			IPR004577	IPB001502					S0004525		
9695_at		Q04958	d1cx4a1		cNMP_binding	9695_at			IPR002641	IPB000135					YML059C		
9696_at		Q04964				9696_at									S0004523		
9697_at						9697_at									YML058C-A		
9698_at		P14747	d1tcoa_		Metallophos	9698_at			IPR006186	IPB000934	3.6.1.41				YML057W		
9699_at		P50094				9699_at			IPR003009						YML056C		
9700_at		P50094				9700_at			IPR005990						YML056C		
9701_at		Q04969				9701_at									S0004519		
9702_at		P00175	d1ltda2		heme_1	9702_at			IPR003009	IPB002932	1.4.7.1				YML054C		
9703_at		Q04978				9703_at									YML053C		
9704_at		P54003				9704_at									YML052W		
9705_at		P04387	d1gcua1		GFO_IDH_MocA	9705_at			IPR000683		1.1.1.18				YML051W		
9706_at		Q04689				9706_at									YML050W		
9707_at		Q04693			CPSF_A	9707_at			IPR000345	IPB000135					YML049C		
9708_at		Q04697				9708_at									YML048W		
9709_at						9709_at									YML048W-A		
9710_at		Q04705				9710_at									YML047C		
9666_at		P39682				9666_at			IPR003107	IPB003107					YML046W		
9667_at		Q04712			RNA_pol_I_TF	9667_at									YML043C		
9668_at		P32796			Carn_acyltransf	9668_at			IPR000542	IPB000542	2.3.1.7				YML042W		
9669_at		Q03433				9669_at									YML041C		
9670_at		Q03697				9670_at			IPR000620						YML038C		
9671_at		Q03703				9671_at									S0004501		
9672_at		Q03705				9672_at									S0004500		
9673_at		P15274				9673_at			IPR001365						YML035C		
9674_at						9674_at									YML035C-A		
9675_at		Q03707				9675_at									S0004497		
9676_at						9676_at									YML033W		
9677_at		P06778				9677_at			IPR004585						YML032C		
9678_at						9678_at									YML032C-A		
9679_at		P32500				9679_at									YML031W		
9680_at		Q03713				9680_at									S0004492		
9681_at		Q03714				9681_at			IPR000626						YML029W		
9682_at		P34760				9682_at			IPR000866						YML028W		
9683_at		P34161				9683_at			IPR001356						YML027W		
9684_s_at		P35271	d1fjgm_		Ribosomal_S13	9684_s_at			IPR001892	IPB001892					S0004488		
9685_at		P51998				9685_at									YML025C		
9686_s_at		P02407				9686_s_at			IPR001210						YML024W		
9687_at		Q03718				9687_at									S0004485		
9688_at		P49435				9688_at			IPR005764						S0004484		
9643_at		P12887				9643_at			IPR005122						YML021C		
9644_at		Q03722				9644_at									YML020W		
9645_at		Q03723				9645_at			IPR000345						YML019W		
9646_at		Q03730				9646_at									YML018C		
9647_at		P50109				9647_at				IPB002989					YML017W		
9648_at		P26570	d1fjma_		Metallophos	9648_at			IPR006186	IPB000934	3.6.1.41				YML016C		
9649_at		Q04226	d1bh9b_			9649_at									YML015C		
9650_at		P49957	d1kpga_			9650_at			IPR001601		2.1.1.51				S0004476		
9651_at		Q04228			UBX	9651_at			IPR001064						YML013W		
9652_at						9652_at									YML013C-A		
9653_at		P54837			EMP24_GP25L	9653_at			IPR000348	IPB000348					YML012W		
9654_at		Q04231				9654_at									S0004472		
9655_at		P27692			Supt5	9655_at			IPR005100	IPB000302					YML010W		
9656_g_at		P27692			KOW	9656_g_at			IPR005100	IPB000302					YML010W		
9657_i_at						9657_i_at									YML010W-A		
9658_r_at						9658_r_at									YML010W-A		
9659_at						9659_at									YML010C-B		
9660_at		P36533				9660_at									YML009C		
9661_at		P25087	d1jg1a_			9661_at			IPR001601	IPB000339	2.1.1.41				YML008C		
9662_at		P19880				9662_at			IPR004827						S0004466		
9663_at		Q04233				9663_at			IPR001230						YML006C		
9664_at		Q04235				9664_at									YML005W		
9665_at		P50107	d1qipa_		Glyoxalase	9665_at			IPR004361	IPB000486	4.4.1.5				YML004C		
9620_at		Q04257				9620_at									S0004462		
9621_at		Q04263				9621_at									YML002W		
9622_at		P32939	d1g16a_		ras	9622_at			IPR003579	IPB000640					YML001W		
9623_at		P32562	d1phk__		pkinase	9623_at			IPR001245	IPB000494	2.7.1.38				S0004603	CDC5	
9624_at		Q03667				9624_at									YMR002W		
9625_at		Q03673			SAP	9625_at			IPR003034						YMR003W		
9626_at		P40959			PX	9626_at			IPR001683	IPB001683					S0004606		
9627_at		P50105				9627_at									YMR005W		
9628_at		Q03674			PLA2_B	9628_at			IPR002642	IPB000416	3.1.1.5				YMR006C		
9629_at		Q03675				9629_at									YMR007W		
9630_at		P39105			PLA2_B	9630_at			IPR002642	IPB002889	3.1.1.4				YMR008C		
9631_at		Q03677			ARD	9631_at			IPR004313						YMR009W		
9632_at		Q03687				9632_at									YMR010W		
9633_at		P23585			sugar_tr	9633_at			IPR005829	IPB002897					YMR011W		
9634_at		Q03690				9634_at				IPB002151					S0004614		
9635_at		P20048			DUF56	9635_at			IPR002741	IPB002741	2.7.1.108				YMR013C		
9636_at		Q04347				9636_at				IPB003134					S0004616		
9637_at		P54781	d1dt6a_		p450	9637_at			IPR002403	IPB001128	4.2.1.92				YMR015C		P54781
9638_at		P53438	d1bm8__		Yeast_DNA_bind	9638_at			IPR003163	IPB003163					YMR016C		
9639_at		Q04359				9639_at			IPR000727	IPB000017					YMR017W		
